timestamp,participant_id,age,gender,attraction,profile_id,condition,attractiveness,authenticity,desirability,attention_check,attention_correct
2025-11-21T02:16:08.292876,PID_1763691360_7895,24,Man,Men,p7,ai_disclosed,2,2,2,FALSE,
2025-11-21T02:16:11.708219,PID_1763691360_7895,24,Man,Men,p11,ai_disclosed,2,2,1,FALSE,
2025-11-21T02:16:16.292425,PID_1763691360_7895,24,Man,Men,p20,ai_disclosed,2,3,2,FALSE,
2025-11-21T02:16:26.740862,PID_1763691360_7895,24,Man,Men,attention_check,attention_check,2,3,3,TRUE,FALSE
2025-11-21T02:16:30.231912,PID_1763691360_7895,24,Man,Men,p2,control,2,2,2,FALSE,
2025-11-21T02:16:33.493105,PID_1763691360_7895,24,Man,Men,p1,control,2,2,0,FALSE,
2025-11-21T02:16:37.399741,PID_1763691360_7895,24,Man,Men,p18,control,2,4,2,FALSE,
2025-11-21T02:16:41.151617,PID_1763691360_7895,24,Man,Men,p14,ai_disclosed,4,2,2,FALSE,
2025-11-21T02:16:45.048802,PID_1763691360_7895,24,Man,Men,p5,control,2,0,2,FALSE,
2025-11-21T02:16:48.515162,PID_1763691360_7895,24,Man,Men,p17,control,1,2,2,FALSE,
2025-11-21T02:23:39.937699,PID_1763691810_5652,24,Man,Men,p11,control,1,2,2,FALSE,
2025-11-21T02:23:45.367636,PID_1763691810_5652,24,Man,Men,p8,control,2,3,2,FALSE,
2025-11-21T02:23:52.196351,PID_1763691810_5652,24,Man,Men,p19,ai_disclosed,2,4,4,FALSE,
2025-11-21T02:23:58.415637,PID_1763691810_5652,24,Man,Men,attention_check,attention_check,3,3,3,TRUE,TRUE
2025-11-21T02:24:04.543110,PID_1763691810_5652,24,Man,Men,p9,ai_disclosed,0,2,0,FALSE,
2025-11-21T02:24:10.469742,PID_1763691810_5652,24,Man,Men,p16,control,4,4,4,FALSE,
2025-11-21T02:24:14.049253,PID_1763691810_5652,24,Man,Men,p6,ai_disclosed,1,2,2,FALSE,
2025-11-21T02:24:16.349921,PID_1763691810_5652,24,Man,Men,p13,control,2,2,2,FALSE,
2025-11-21T02:24:19.126081,PID_1763691810_5652,24,Man,Men,p7,ai_disclosed,2,2,2,FALSE,
2025-11-21T02:24:21.336583,PID_1763691810_5652,24,Man,Men,p17,control,2,2,2,FALSE,
2025-11-21T02:29:51.540278,PID_1763692184_5491,24,Woman,Men,p6,control,2,2,2,FALSE,
2025-11-21T02:29:56.041560,PID_1763692184_5491,24,Woman,Men,p3,control,0,4,2,FALSE,
2025-11-21T02:29:59.450692,PID_1763692184_5491,24,Woman,Men,p18,control,2,2,3,FALSE,
2025-11-21T02:30:05.667587,PID_1763692184_5491,24,Woman,Men,attention_check,attention_check,3,3,3,TRUE,TRUE
2025-11-21T02:30:09.291818,PID_1763692184_5491,24,Woman,Men,p12,ai_disclosed,2,2,2,FALSE,
2025-11-21T02:30:12.682759,PID_1763692184_5491,24,Woman,Men,p20,ai_disclosed,0,2,2,FALSE,
2025-11-21T02:30:15.868673,PID_1763692184_5491,24,Woman,Men,p17,control,2,2,3,FALSE,
2025-11-21T02:30:19.984310,PID_1763692184_5491,24,Woman,Men,p7,ai_disclosed,2,3,2,FALSE,
2025-11-21T02:30:22.962208,PID_1763692184_5491,24,Woman,Men,p4,control,4,2,2,FALSE,
2025-11-21T02:30:26.610151,PID_1763692184_5491,24,Woman,Men,p11,ai_disclosed,2,2,0,FALSE,
2025-11-21T02:35:30.545045,PID_1763692522_4626,24,Woman,Women,p9,ai_disclosed,0,0,0,FALSE,
2025-11-21T02:35:34.640958,PID_1763692522_4626,24,Woman,Women,p20,control,3,3,1,FALSE,
2025-11-21T02:35:36.858896,PID_1763692522_4626,24,Woman,Women,p11,control,2,4,2,FALSE,
2025-11-21T02:35:38.791862,PID_1763692522_4626,24,Woman,Women,attention_check,attention_check,2,2,2,TRUE,FALSE
2025-11-21T02:35:42.245681,PID_1763692522_4626,24,Woman,Women,p5,ai_disclosed,2,2,2,FALSE,
2025-11-21T02:35:44.438716,PID_1763692522_4626,24,Woman,Women,p3,ai_disclosed,2,2,2,FALSE,
2025-11-21T02:35:45.516377,PID_1763692522_4626,24,Woman,Women,p2,ai_disclosed,2,2,2,FALSE,
2025-11-21T02:35:47.970778,PID_1763692522_4626,24,Woman,Women,p17,control,2,2,2,FALSE,
2025-11-21T02:35:49.705226,PID_1763692522_4626,24,Woman,Women,p19,ai_disclosed,2,2,2,FALSE,
2025-11-21T02:35:51.615571,PID_1763692522_4626,24,Woman,Women,p4,control,2,2,2,FALSE,
2025-11-21T02:35:53.851237,PID_1763692522_4626,24,Woman,Women,p7,control,2,2,2,FALSE,
2025-11-21T02:50:51.811907,PID_1763693438_3273,28,Prefer not to say,Men,m14,ai_disclosed,1,0,0,FALSE,
2025-11-21T02:50:56.539626,PID_1763693438_3273,28,Prefer not to say,Men,m19,ai_disclosed,4,3,1,FALSE,
2025-11-21T02:51:01.858659,PID_1763693438_3273,28,Prefer not to say,Men,m3,control,4,4,4,FALSE,
2025-11-21T02:51:07.063526,PID_1763693438_3273,28,Prefer not to say,Men,attention_check,attention_check,3,3,3,TRUE,TRUE
2025-11-21T02:51:16.528003,PID_1763693438_3273,28,Prefer not to say,Men,m10,control,1,0,4,FALSE,
2025-11-21T02:51:21.619548,PID_1763693438_3273,28,Prefer not to say,Men,m9,control,4,4,1,FALSE,
2025-11-21T02:51:26.479810,PID_1763693438_3273,28,Prefer not to say,Men,m6,ai_disclosed,0,0,0,FALSE,
2025-11-21T02:51:30.448817,PID_1763693438_3273,28,Prefer not to say,Men,m17,control,2,3,1,FALSE,
2025-11-21T02:51:33.307570,PID_1763693438_3273,28,Prefer not to say,Men,m12,ai_disclosed,4,2,2,FALSE,
2025-11-21T02:51:35.882035,PID_1763693438_3273,28,Prefer not to say,Men,m8,control,2,1,2,FALSE,
2025-11-21T02:51:38.872004,PID_1763693438_3273,28,Prefer not to say,Men,m4,ai_disclosed,2,2,3,FALSE,
2025-11-21T02:51:58.994176,PID_1763693512_7783,24,Prefer not to say,Women,w15,control,2,2,2,FALSE,
2025-11-21T02:52:01.039165,PID_1763693512_7783,24,Prefer not to say,Women,w6,ai_disclosed,2,2,2,FALSE,
2025-11-21T02:52:02.973008,PID_1763693512_7783,24,Prefer not to say,Women,w20,control,2,2,2,FALSE,
2025-11-21T02:52:05.570243,PID_1763693512_7783,24,Prefer not to say,Women,attention_check,attention_check,2,2,2,TRUE,FALSE
2025-11-21T02:52:10.014593,PID_1763693512_7783,24,Prefer not to say,Women,w1,ai_disclosed,2,2,2,FALSE,
2025-11-21T02:52:11.741208,PID_1763693512_7783,24,Prefer not to say,Women,w7,ai_disclosed,2,2,2,FALSE,
2025-11-21T02:52:14.374739,PID_1763693512_7783,24,Prefer not to say,Women,w4,control,2,2,2,FALSE,
2025-11-21T02:52:16.126579,PID_1763693512_7783,24,Prefer not to say,Women,w13,ai_disclosed,2,2,2,FALSE,
2025-11-21T02:52:18.179538,PID_1763693512_7783,24,Prefer not to say,Women,w8,ai_disclosed,2,2,2,FALSE,
2025-11-21T02:52:20.173970,PID_1763693512_7783,24,Prefer not to say,Women,w9,control,2,2,2,FALSE,
2025-11-21T02:52:22.946508,PID_1763693512_7783,24,Prefer not to say,Women,w2,control,2,2,2,FALSE,
2025-11-21T02:52:37.286201,PID_1763693551_6708,24,Prefer not to say,Both,m20,ai_disclosed,2,2,2,FALSE,
2025-11-21T02:52:39.508510,PID_1763693551_6708,24,Prefer not to say,Both,m3,control,2,2,2,FALSE,
2025-11-21T02:52:41.761407,PID_1763693551_6708,24,Prefer not to say,Both,w6,control,2,2,2,FALSE,
2025-11-21T02:52:43.892795,PID_1763693551_6708,24,Prefer not to say,Both,attention_check,attention_check,2,2,2,TRUE,FALSE
2025-11-21T02:52:47.199172,PID_1763693551_6708,24,Prefer not to say,Both,w7,ai_disclosed,2,2,2,FALSE,
