timestamp,participant_id,age,gender,attraction,profile_id,condition,attractiveness,authenticity,desirability,attention_check,attention_correct
2025-11-24T02:32:34.732332,PID_1763951480_1947,24,Prefer not to say,Men,m2,control,2,2,2,FALSE,
2025-11-24T02:33:16.567018,PID_1763951480_1947,24,Prefer not to say,Men,m8,ai_disclosed,2,2,2,FALSE,
2025-11-24T02:33:39.184555,PID_1763951480_1947,24,Prefer not to say,Men,m3,control,2,2,2,FALSE,
2025-11-24T02:33:43.269222,PID_1763951480_1947,24,Prefer not to say,Men,attention_check,attention_check,3,3,3,TRUE,TRUE
2025-11-24T02:34:10.093633,PID_1763951480_1947,24,Prefer not to say,Men,m4,ai_disclosed,2,2,2,FALSE,
2025-11-24T02:34:47.539513,PID_1763951480_1947,24,Prefer not to say,Men,m7,control,2,2,2,FALSE,
2025-11-24T02:34:53.286892,PID_1763951480_1947,24,Prefer not to say,Men,m10,control,2,2,2,FALSE,
2025-11-24T02:35:38.428959,PID_1763951480_1947,24,Prefer not to say,Men,m1,ai_disclosed,2,2,2,FALSE,
2025-11-24T02:35:56.294812,PID_1763951480_1947,24,Prefer not to say,Men,m9,ai_disclosed,2,2,2,FALSE,
2025-11-24T02:36:16.985637,PID_1763951480_1947,24,Prefer not to say,Men,m5,ai_disclosed,2,2,2,FALSE,
2025-11-24T02:36:51.060005,PID_1763951480_1947,24,Prefer not to say,Men,m6,control,2,2,2,FALSE,
2025-11-24T02:37:23.879563,PID_1763951818_7721,24,Prefer not to say,Women,w7,ai_disclosed,2,2,2,FALSE,
2025-11-24T02:37:29.892665,PID_1763951818_7721,24,Prefer not to say,Women,w5,control,2,2,2,FALSE,
2025-11-24T02:37:43.829064,PID_1763951818_7721,24,Prefer not to say,Women,w8,control,2,2,2,FALSE,
2025-11-24T02:37:48.262162,PID_1763951818_7721,24,Prefer not to say,Women,attention_check,attention_check,3,3,3,TRUE,TRUE
2025-11-24T02:37:52.422009,PID_1763951818_7721,24,Prefer not to say,Women,w10,ai_disclosed,2,2,2,FALSE,
2025-11-24T02:37:59.931561,PID_1763951818_7721,24,Prefer not to say,Women,w4,ai_disclosed,2,2,2,FALSE,
2025-11-24T02:38:08.464346,PID_1763951818_7721,24,Prefer not to say,Women,w6,ai_disclosed,2,2,2,FALSE,
2025-11-24T02:38:29.470596,PID_1763951818_7721,24,Prefer not to say,Women,w9,control,2,2,2,FALSE,
2025-11-24T02:38:36.405883,PID_1763951818_7721,24,Prefer not to say,Women,w2,ai_disclosed,2,2,2,FALSE,
2025-11-24T02:38:43.618191,PID_1763951818_7721,24,Prefer not to say,Women,w1,control,2,2,2,FALSE,
2025-11-24T02:38:52.751690,PID_1763951818_7721,24,Prefer not to say,Women,w3,control,2,2,2,FALSE,
2025-11-24T02:50:53.536688,PID_1763952645_4683,24,Prefer not to say,Women,w1,ai_disclosed,1,2,2,FALSE,
2025-11-24T02:50:59.499848,PID_1763952645_4683,24,Prefer not to say,Women,w7,control,4,2,2,FALSE,
2025-11-24T02:51:04.428933,PID_1763952645_4683,24,Prefer not to say,Women,w9,ai_disclosed,3,2,2,FALSE,
2025-11-24T02:51:11.012282,PID_1763952645_4683,24,Prefer not to say,Women,attention_check,attention_check,3,3,3,TRUE,TRUE
2025-11-24T02:51:16.016307,PID_1763952645_4683,24,Prefer not to say,Women,w3,ai_disclosed,1,2,2,FALSE,
2025-11-24T02:51:18.920602,PID_1763952645_4683,24,Prefer not to say,Women,w10,control,2,2,2,FALSE,
2025-11-24T02:51:25.673072,PID_1763952645_4683,24,Prefer not to say,Women,w2,ai_disclosed,0,0,0,FALSE,
2025-11-24T02:51:29.425639,PID_1763952645_4683,24,Prefer not to say,Women,w4,control,4,4,2,FALSE,
2025-11-24T02:51:33.489940,PID_1763952645_4683,24,Prefer not to say,Women,w6,ai_disclosed,3,1,2,FALSE,
2025-11-24T02:51:38.486231,PID_1763952645_4683,24,Prefer not to say,Women,w8,control,2,2,2,FALSE,
2025-11-24T02:51:42.799190,PID_1763952645_4683,24,Prefer not to say,Women,w5,control,1,2,2,FALSE,
2025-11-24T04:13:22.887940,PID_1763957560_3532,31,Man,Men,m2,control,2,1,2,FALSE,
2025-11-24T04:14:02.917108,PID_1763957560_3532,31,Man,Men,m7,ai_disclosed,2,2,2,FALSE,
2025-11-24T04:14:21.716870,PID_1763957560_3532,31,Man,Men,m1,ai_disclosed,1,1,1,FALSE,
2025-11-24T04:14:33.013176,PID_1763957560_3532,31,Man,Men,attention_check,attention_check,3,3,3,TRUE,TRUE
2025-11-24T04:14:50.856828,PID_1763957560_3532,31,Man,Men,m8,ai_disclosed,2,2,3,FALSE,
2025-11-24T04:15:13.146626,PID_1763957560_3532,31,Man,Men,m9,control,3,2,3,FALSE,
2025-11-24T04:15:48.287263,PID_1763957560_3532,31,Man,Men,m4,ai_disclosed,1,2,1,FALSE,
2025-11-24T04:16:13.113553,PID_1763957560_3532,31,Man,Men,m5,control,2,1,1,FALSE,
2025-11-24T13:13:11.559318,PID_1763989927_5429,31,Man,Men,m8,control,1,2,1,FALSE,
2025-11-24T13:13:29.481920,PID_1763989927_5429,31,Man,Men,m3,ai_disclosed,2,2,2,FALSE,
2025-11-24T13:13:48.215133,PID_1763989927_5429,31,Man,Men,m10,control,1,2,1,FALSE,
2025-11-24T13:13:55.661574,PID_1763989927_5429,31,Man,Men,attention_check,attention_check,3,3,3,TRUE,TRUE
2025-11-24T13:14:11.198297,PID_1763989927_5429,31,Man,Men,m5,control,2,1,2,FALSE,
2025-11-24T13:14:24.915094,PID_1763989927_5429,31,Man,Men,m1,control,1,1,1,FALSE,
2025-11-24T13:14:54.925308,PID_1763989927_5429,31,Man,Men,m7,ai_disclosed,2,1,2,FALSE,
2025-11-24T13:15:14.341246,PID_1763989927_5429,31,Man,Men,m4,control,1,1,1,FALSE,
2025-11-24T13:15:38.384053,PID_1763989927_5429,31,Man,Men,m2,ai_disclosed,3,1,2,FALSE,
2025-11-24T13:16:04.855162,PID_1763989927_5429,31,Man,Men,m6,ai_disclosed,2,1,1,FALSE,
2025-11-24T13:16:24.059796,PID_1763989927_5429,31,Man,Men,m9,ai_disclosed,2,1,2,FALSE,
2025-11-24T14:20:03.917879,PID_1763993996_2897,24,Prefer not to say,Men,m4,control,1,3,2,FALSE,
2025-11-24T14:26:17.448313,PID_1763994345_2830,24,Prefer not to say,Men,m9,control,1,0,3,FALSE,
2025-11-24T14:26:37.920534,PID_1763994345_2830,24,Prefer not to say,Men,m5,ai_disclosed,2,2,2,FALSE,
2025-11-24T14:27:01.345106,PID_1763994345_2830,24,Prefer not to say,Men,m1,ai_disclosed,2,2,2,FALSE,
2025-11-24T14:27:01.991887,PID_1763994345_2830,24,Prefer not to say,Men,m1,ai_disclosed,2,2,2,FALSE,
2025-11-24T14:27:06.698581,PID_1763994345_2830,24,Prefer not to say,Men,attention_check,attention_check,3,3,3,TRUE,TRUE
2025-11-24T14:45:45.215263,PID_1763995529_4409,24,Prefer not to say,Men,m7,ai_disclosed,1,2,1,FALSE,
2025-11-24T14:45:49.042124,PID_1763995529_4409,24,Prefer not to say,Men,m1,ai_disclosed,2,2,2,FALSE,
2025-11-24T14:45:51.905289,PID_1763995529_4409,24,Prefer not to say,Men,m5,ai_disclosed,2,2,2,FALSE,
2025-11-24T14:45:58.312774,PID_1763995529_4409,24,Prefer not to say,Men,attention_check,attention_check,3,3,3,TRUE,TRUE
2025-11-24T14:46:09.189721,PID_1763995529_4409,24,Prefer not to say,Men,m6,control,2,2,2,FALSE,
2025-11-24T14:46:31.426145,PID_1763995529_4409,24,Prefer not to say,Men,m2,control,0,2,2,FALSE,
2025-11-25T04:18:02.727832,PID_1764044274_9001,24,Prefer not to say,Men,m2,ai_disclosed,1,2,3,FALSE,
2025-11-25T04:18:15.800985,PID_1764044274_9001,24,Prefer not to say,Men,m6,ai_disclosed,3,2,2,FALSE,
2025-11-25T04:18:39.249213,PID_1764044274_9001,24,Prefer not to say,Men,m5,control,3,2,2,FALSE,
2025-11-25T04:19:08.041347,PID_1764044274_9001,24,Prefer not to say,Men,attention_check,attention_check,3,3,3,TRUE,TRUE
2025-11-25T04:19:16.933082,PID_1764044274_9001,24,Prefer not to say,Men,m1,control,1,3,2,FALSE,
2025-11-29T15:03:40.641602,PID_1764428608_4721,24,Prefer not to say,Women,w8,control,2,1,2,FALSE,
2025-11-29T15:03:46.345427,PID_1764428608_4721,24,Prefer not to say,Women,w5,control,3,2,2,FALSE,
2025-11-29T15:03:46.742463,PID_1764428608_4721,24,Prefer not to say,Women,w5,control,3,2,2,FALSE,
2025-11-29T18:09:50.604465,PID_1764439770_3901,24,Man,Women,w9,control,2,3,2,FALSE,
2025-11-29T18:09:58.256876,PID_1764439770_3901,24,Man,Women,w6,control,2,2,3,FALSE,
2025-11-30T20:38:56.297425,PID_1764535065_5768,24,Prefer not to say,Men,m3,control,1,2,2,FALSE,
2025-12-01T07:10:03.071322,PID_1764572930_1474,31,Man,Women,w6,ai_disclosed,2,4,2,FALSE,
2025-12-01T07:10:23.319334,PID_1764572930_1474,31,Man,Women,w5,control,2,1,1,FALSE,
2025-12-01T07:11:03.051970,PID_1764572930_1474,31,Man,Women,w7,ai_disclosed,2,2,1,FALSE,
2025-12-01T07:11:14.127560,PID_1764572930_1474,31,Man,Women,attention_check,attention_check,3,3,3,TRUE,TRUE
2025-12-01T07:11:31.633879,PID_1764572930_1474,31,Man,Women,w3,control,3,1,3,FALSE,
2025-12-01T07:11:49.674483,PID_1764572930_1474,31,Man,Women,w4,control,3,1,2,FALSE,
2025-12-01T07:11:50.711672,PID_1764572930_1474,31,Man,Women,w10,ai_disclosed,2,2,2,FALSE,
2025-12-01T07:12:05.420802,PID_1764572930_1474,31,Man,Women,w1,ai_disclosed,3,3,1,FALSE,
2025-12-01T07:12:39.696372,PID_1764572930_1474,31,Man,Women,w8,control,3,2,3,FALSE,
2025-12-01T07:12:49.955530,PID_1764572930_1474,31,Man,Women,w9,control,2,2,1,FALSE,
2025-12-01T07:13:01.872104,PID_1764572930_1474,31,Man,Women,w2,ai_disclosed,2,1,1,FALSE,
